##################################################
Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-16/vertex_ai/gemini-2.5-flash/merged/merged_graph_4.ttl
Number of Nodes : 397
Number of edges : 747
cumulative number of nodes : 397
degree_histogram : [0, 128, 68, 63, 42, 24, 14, 9, 8, 6, 8, 7, 4, 5, 2, 2, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
number of self loop : 0
####  KPIs ####
DiGraph density : 0.004751545683535608
Average degree connectivity : {4: 4.767857142857143, 9: 3.462962962962963, 6: 4.392857142857143, 1: 0.2734375, 5: 2.8916666666666666, 2: 0.6764705882352942, 14: 5.178571428571429, 3: 2.4232804232804233, 10: 2.4625, 11: 4.116883116883117, 22: 2.227272727272727, 7: 3.3492063492063493, 12: 3.7916666666666665, 8: 4.609375, 15: 3.066666666666667, 35: 5.4, 23: 3.0217391304347827, 16: 3.4375, 13: 4.2, 24: 2.875, 17: 7.647058823529412}
#### Subject, Object, predicate ####
OrangeCorp_extra_node_2,Email,{'label': 'agentPreferredContactMethod', 'color': 'white'}
AppSupportTeam_extra_node_5,TicketingSystemContactMethod_extra_node_5,{'label': 'agentPreferredContactMethod', 'color': 'white'}
AppSupportTeam_extra_node_5,OrangeCorp_extra_node_5,{'label': 'org#unitOf', 'color': 'white'}
CustomerPortalApp_extra_node_6,HighImportance,{'label': 'applicationBusinessImportance', 'color': 'white'}
CustomerPortalApp_extra_node_6,WebAppType,{'label': 'applicationType', 'color': 'white'}
CR_20231101_001,Software upgrade,{'label': 'changeRequestChangeCause', 'color': 'white'}
CR_20231101_001,Router_Core_01,{'label': 'changeRequestImpact', 'color': 'white'}
CR_20231101_001,Internal intervention,{'label': 'changeRequestCategory', 'color': 'white'}
CR_20231101_001,JohnDoe_extra_node_2,{'label': 'changeRequestPilotParty', 'color': 'white'}
CR_20231101_001,Standard Change,{'label': 'changeRequestType', 'color': 'white'}
CR_20231101_001,CoreRouter01,{'label': 'changeRequestImpact', 'color': 'white'}
CR_20231101_001,Event_ConfigChange_RTR01,{'label': 'documentStatusHistory', 'color': 'white'}
CR_20231101_001,Scheduled,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
CR_20231101_001,Configuration,{'label': 'changeRequestChangeCause', 'color': 'white'}
CR_20231101_001,JaneSmith,{'label': 'changeRequestInitiatorParty', 'color': 'white'}
CR_20231101_001,FirmwareUpgradePlan,{'label': 'actionCorrelatedOperationPlan', 'color': 'white'}
CR_20231101_001,JohnDoe,{'label': 'changeRequestPilotParty', 'color': 'white'}
CR_20231101_001,Standard Router Interface Configuration,{'label': 'changeRequestSpecification', 'color': 'white'}
CR_20231101_001,Standard,{'label': 'changeRequestType', 'color': 'white'}
